Unnamed: 0,Unnamed: 0.1,Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Description,Resolution Action Updated Date,Community Board,BBL,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Open Data Channel Type,Park Facility Name,Park Borough,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Latitude,Longitude,Location,AHV,lonlat,geometry,hour_of_the_day,average_temparature,Descriptor_cat,precipitation_levels,zonedist_cat,AHV,yearbuilt,lotdepth,simple_zone_cat,unitsres,enforcability_score,Predicted Enforcability Probability,Predicted Enforcability Score
12,92,43107796,2019-06-26 16:07:00,07/01/2019 10:07:00 AM,DEP,Department of Environmental Protection,Noise,"Noise, Barking Dog (NR5)",,10301.0,131 JERSEY STREET,JERSEY STREET,RICHMOND TER,BEND,,,ADDRESS,STATEN ISLAND,,,Closed,,The Department of Environmental Protection researched this complaint and determined that it could be closed.,07/01/2019 10:07:00 AM,01 STATEN ISLAND,5000510001.0,STATEN ISLAND,960146.0,174002.0,ONLINE,Unspecified,STATEN ISLAND,,,,,,,,40.64423912726966,-74.08685728635189,"(40.64423912726966, -74.08685728635189)",0,"(-74.086857286351886, 40.644239127269657)",POINT (960146.0000142661 174002.0143853919),16,77.0,4,0.0,25,0,1921.9754464285713,121.23908482142859,8,1.6495535714285714,2,0.52,1
13,93,43107797,2019-06-26 14:01:00,06/28/2019 01:15:00 PM,DEP,Department of Environmental Protection,Noise,"Noise, Ice Cream Truck (NR4)",,10461.0,VAN NEST AVENUE,VAN NEST AVENUE,HAIGHT AVENUE,TOMLINSON AVENUE,,,BLOCKFACE,BRONX,,,Closed,,"The Department of Environmental Protection did not observe a violation of the New York City Air/Noise Code at the time of inspection and could not issue a notice of violation. If the problem still exists, please call 311 and file a new complaint. If you are outside of New York City, please call (212) NEW-YORK (212-639-9675).",06/28/2019 01:15:00 PM,11 BRONX,,BRONX,1025300.0,248414.0,PHONE,Unspecified,BRONX,,,,,,,,40.84841866741703,-73.85162475098593,"(40.84841866741703, -73.85162475098593)",0,"(-73.851624750985934, 40.848418667417029)",POINT (1025299.999975558 248414.0144330876),14,77.0,7,0.0,21,0,1926.2039215686275,98.612,6,2.011764705882353,2,0.2,2
14,94,43107798,2019-06-26 16:42:00,07/02/2019 11:00:00 AM,DEP,Department of Environmental Protection,Noise,Noise: Alarms (NR3),,10023.0,336 WEST END AVENUE,WEST END AVENUE,W 75 ST,W 76 ST,,,ADDRESS,NEW YORK,,,Closed,,"The Department of Environmental Protection did not observe a violation of the New York City Air/Noise Code at the time of inspection and could not issue a notice of violation. If the problem still exists, please call 311 and file a new complaint. If you are outside of New York City, please call (212) NEW-YORK (212-639-9675).",07/02/2019 11:00:00 AM,07 MANHATTAN,1011670061.0,MANHATTAN,989044.0,224271.0,ONLINE,Unspecified,MANHATTAN,,,,,,,,40.78224701475431,-73.98268931287652,"(40.78224701475431, -73.98268931287652)",0,"(-73.982689312876516, 40.782247014754311)",POINT (989043.9999971475 224271.0144178619),16,77.0,1,0.0,49,0,1913.6969696969697,94.92090909090913,5,27.363636363636363,2,0.42,2
15,95,43107803,2019-06-26 15:09:00,06/28/2019 07:00:00 AM,DEP,Department of Environmental Protection,Noise,Noise: Construction Before/After Hours (NM1),,11101.0,29-27 41 AVENUE,41 AVENUE,QUEENS PLZA N,QUEENS PLZA N,,,ADDRESS,Long Island City,,,Closed,,"The Department of Environmental Protection did not observe a violation of the New York City Air/Noise Code at the time of inspection and could not issue a notice of violation. If the problem still exists, please call 311 and file a new complaint. If you are outside of New York City, please call (212) NEW-YORK (212-639-9675).",06/28/2019 07:00:00 AM,01 QUEENS,4004030009.0,QUEENS,1001859.0,212464.0,ONLINE,Unspecified,QUEENS,,,,,,,,40.74982362234481,-73.93644648455549,"(40.74982362234481, -73.93644648455549)",0,"(-73.936446484555489, 40.749823622344813)",POINT (1001858.999989541 212464.0144103029),15,77.0,0,0.0,90,0,1762.4264705882354,102.61647058823527,11,28.66176470588235,2,0.38,2
16,96,43107804,2019-06-26 20:45:00,06/27/2019 11:00:00 PM,DEP,Department of Environmental Protection,Noise,Noise: Construction Before/After Hours (NM1),,10002.0,198 FORSYTH STREET,FORSYTH STREET,STANTON ST,E HOUSTON ST,,,ADDRESS,NEW YORK,,,Closed,,"The Department of Environmental Protection did not observe a violation of the New York City Air/Noise Code at the time of inspection and could not issue a notice of violation. If the problem still exists, please call 311 and file a new complaint. If you are outside of New York City, please call (212) NEW-YORK (212-639-9675).",06/27/2019 11:00:00 PM,03 MANHATTAN,1004220072.0,MANHATTAN,986820.0,202510.0,ONLINE,Unspecified,MANHATTAN,,,,,,,,40.722519510506174,-73.99072828644131,"(40.72251951050617, -73.99072828644132)",1,"(-73.990728286441311, 40.722519510506174)",POINT (986819.9999984823 202510.0144039222),20,77.0,0,0.0,32,1,1932.8333333333333,97.88333333333334,4,26.933333333333334,2,0.15,2
17,97,43107805,2019-06-26 19:35:00,07/02/2019 01:47:00 AM,DEP,Department of Environmental Protection,Noise,Noise: Construction Before/After Hours (NM1),,10474.0,907 FAILE STREET,FAILE STREET,SENECA AVE,GARRISON AVE,,,ADDRESS,BRONX,,,Closed,,"The Department of Environmental Protection did not observe a violation of the New York City Air/Noise Code at the time of inspection and could not issue a notice of violation. If the problem still exists, please call 311 and file a new complaint. If you are outside of New York City, please call (212) NEW-YORK (212-639-9675).",07/02/2019 01:47:00 AM,02 BRONX,2027610032.0,BRONX,1015263.0,238032.0,PHONE,Unspecified,BRONX,,,,,,,,40.819964053748386,-73.88795144777356,"(40.81996405374838, -73.88795144777356)",0,"(-73.88795144777356, 40.819964053748386)",POINT (1015262.999981548 238032.0144265666),19,77.0,0,0.0,11,0,1855.0845070422536,103.14929577464785,1,4.676056338028169,2,0.14,2
18,98,43107806,2019-06-26 22:26:00,07/01/2019 07:45:00 PM,DEP,Department of Environmental Protection,Noise,Noise: Construction Equipment (NC1),,10033.0,1314 RIVERSIDE DRIVE,RIVERSIDE DRIVE,GW BRDG BIKE AND PEDESTRIAN PATH,BEND,,,ADDRESS,NEW YORK,,,Closed,,"The Department of Environmental Protection did not observe a violation of the New York City Air/Noise Code at the time of inspection and could not issue a notice of violation. If the problem still exists, please call 311 and file a new complaint. If you are outside of New York City, please call (212) NEW-YORK (212-639-9675).",07/01/2019 07:45:00 PM,12 MANHATTAN,1021770218.0,MANHATTAN,1000067.0,249085.0,PHONE,Unspecified,MANHATTAN,,,,,,,,40.850341619192534,-73.94282781474497,"(40.85034161919252, -73.94282781474497)",0,"(-73.942827814744973, 40.850341619192534)",POINT (1000066.99999058 249085.014433555),22,77.0,3,0.0,22,0,1925.4285714285713,136.91714285714286,0,75.42857142857143,2,0.39,2
19,99,43107807,2019-06-26 11:21:00,06/27/2019 04:00:00 PM,DEP,Department of Environmental Protection,Noise,Noise: Jack Hammering (NC2),,10017.0,708 3 AVENUE,3 AVENUE,E 44 ST,E 45 ST,,,ADDRESS,NEW YORK,,,Closed,,"The Department of Environmental Protection did not observe a violation of the New York City Air/Noise Code at the time of inspection and could not issue a notice of violation. If the problem still exists, please call 311 and file a new complaint. If you are outside of New York City, please call (212) NEW-YORK (212-639-9675).",06/27/2019 04:00:00 PM,06 MANHATTAN,1012990033.0,MANHATTAN,991641.0,213371.0,ONLINE,Unspecified,MANHATTAN,,,,,,,,40.75232755216677,-73.97332377450489,"(40.75232755216677, -73.97332377450489)",0,"(-73.973323774504891, 40.752327552166768)",POINT (991640.9999956123 213371.0144108984),11,77.0,5,0.0,40,0,1714.6025641025642,137.01820512820515,13,18.243589743589745,2,0.21,2
20,100,43107808,2019-06-26 07:12:00,07/01/2019 02:00:00 PM,DEP,Department of Environmental Protection,Noise,Noise: Jack Hammering (NC2),,10037.0,416 LENOX AVENUE,LENOX AVENUE,W 130 ST,W 131 ST,,,ADDRESS,NEW YORK,,,Closed,,"The Department of Environmental Protection did not observe a violation of the New York City Air/Noise Code at the time of inspection and could not issue a notice of violation. If the problem still exists, please call 311 and file a new complaint. If you are outside of New York City, please call (212) NEW-YORK (212-639-9675).",07/01/2019 02:00:00 PM,10 MANHATTAN,1017280070.0,MANHATTAN,1000077.0,234900.0,ONLINE,Unspecified,MANHATTAN,,,,,,,,40.81140785498509,-73.94282513479044,"(40.81140785498509, -73.94282513479043)",0,"(-73.942825134790439, 40.811407854985092)",POINT (1000076.999990581 234900.0144245993),7,77.0,5,0.0,22,0,1914.0666666666666,103.4339166666667,0,7.366666666666666,2,0.15,2
21,101,43107809,2019-06-26 15:25:00,07/01/2019 03:45:00 PM,DEP,Department of Environmental Protection,Noise,Noise: Jack Hammering (NC2),,10013.0,,,,,HOWARD STREET,BROADWAY,INTERSECTION,NEW YORK,,,Closed,,"The Department of Environmental Protection did not observe a violation of the New York City Air/Noise Code at the time of inspection and could not issue a notice of violation. If the problem still exists, please call 311 and file a new complaint. If you are outside of New York City, please call (212) NEW-YORK (212-639-9675).",07/01/2019 03:45:00 PM,02 MANHATTAN,,MANHATTAN,983855.0,201569.0,PHONE,Unspecified,MANHATTAN,,,,,,,,40.71993705710004,-74.00142497468545,"(40.71993705710004, -74.00142497468545)",0,"(-74.001424974685449, 40.71993705710004)",POINT (983855.0000002345 201569.0144033103),15,77.0,5,0.0,66,0,1870.274647887324,105.12985915492956,3,4.190140845070423,2,0.13,2
22,102,43107810,2019-06-26 21:45:00,07/01/2019 01:30:00 AM,DEP,Department of Environmental Protection,Noise,Noise: Private Carting Noise (NQ1),,11231.0,317 BOND STREET,BOND STREET,UNION ST,PRESIDENT ST,,,ADDRESS,BROOKLYN,,,Closed,,"The Department of Environmental Protection did not observe a violation of the New York City Air/Noise Code at the time of inspection and could not issue a notice of violation. If the problem still exists, please call 311 and file a new complaint. If you are outside of New York City, please call (212) NEW-YORK (212-639-9675).",07/01/2019 01:30:00 AM,06 BROOKLYN,3004380003.0,BROOKLYN,987085.0,186873.0,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.679599525605,-73.98977883621984,"(40.679599525605, -73.98977883621984)",0,"(-73.989778836219841, 40.679599525604999)",POINT (987084.9999983166 186873.0143937998),21,77.0,9,0.0,89,0,1897.4,102.21509090909092,1,3.422727272727273,2,0.2,2
23,103,43111071,2019-06-26 23:10:00,06/27/2019 05:15:00 AM,DEP,Department of Environmental Protection,Noise,Noise: Jack Hammering (NC2),,10012.0,32 SPRING STREET,SPRING STREET,MOTT ST,MULBERRY ST,,,ADDRESS,NEW YORK,,,Closed,,"The Department of Environmental Protection did not observe a violation of the New York City Air/Noise Code at the time of inspection and could not issue a notice of violation. If the problem still exists, please call 311 and file a new complaint. If you are outside of New York City, please call (212) NEW-YORK (212-639-9675).",06/27/2019 05:15:00 AM,02 MANHATTAN,1004800023.0,MANHATTAN,985453.0,202208.0,ONLINE,Unspecified,MANHATTAN,,,,,,,,40.72169088500663,-73.99566002618063,"(40.72169088500663, -73.99566002618063)",0,"(-73.99566002618063, 40.72169088500663)",POINT (985452.9999992924 202208.0144037292),23,77.0,5,0.0,23,0,1915.4285714285713,95.80928571428572,14,18.976190476190474,2,0.12,2
24,104,43111355,2019-06-26 23:38:00,06/28/2019 03:45:00 AM,DEP,Department of Environmental Protection,Noise,Noise: Construction Before/After Hours (NM1),,10025.0,230 RIVERSIDE DRIVE,RIVERSIDE DRIVE,HENRY HUDSON PARKWAY ET 11  SB,HENRY HUDSON PKWY ET 11  NB,,,ADDRESS,NEW YORK,,,Closed,,"The Department of Environmental Protection did not observe a violation of the New York City Air/Noise Code at the time of inspection and could not issue a notice of violation. If the problem still exists, please call 311 and file a new complaint. If you are outside of New York City, please call (212) NEW-YORK (212-639-9675).",06/28/2019 03:45:00 AM,07 MANHATTAN,1012537503.0,MANHATTAN,990955.0,229134.0,PHONE,Unspecified,MANHATTAN,,,,,,,,40.79559340144021,-73.97578401594991,"(40.79559340144021, -73.9757840159499)",0,"(-73.975784015949912, 40.795593401440208)",POINT (990954.9999960124 229134.0144209495),23,77.0,0,0.0,49,0,1843.423076923077,100.82038461538463,5,34.34615384615385,2,0.18,2
25,105,43111356,2019-06-26 23:13:00,06/27/2019 02:00:00 AM,DEP,Department of Environmental Protection,Noise,Noise: Construction Before/After Hours (NM1),,10031.0,,,,,WEST 141 STREET,AMSTERDAM AVENUE,INTERSECTION,NEW YORK,,,Closed,,"The Department of Environmental Protection did not observe a violation of the New York City Air/Noise Code at the time of inspection and could not issue a notice of violation. If the problem still exists, please call 311 and file a new complaint. If you are outside of New York City, please call (212) NEW-YORK (212-639-9675).",06/27/2019 02:00:00 AM,09 MANHATTAN,,MANHATTAN,998237.0,239009.0,PHONE,Unspecified,MANHATTAN,,,,,,,,40.82268900982004,-73.94946354957644,"(40.82268900982004, -73.94946354957644)",0,"(-73.949463549576436, 40.822689009820039)",POINT (998236.9999916781 239009.0144272046),23,77.0,0,0.0,4,0,1913.7919463087248,96.61154362416113,1,6.241610738255034,2,0.08,2
26,106,43111357,2019-06-26 00:20:00,06/27/2019 04:00:00 AM,DEP,Department of Environmental Protection,Noise,Noise: Construction Before/After Hours (NM1),,10016.0,,,,,EAST 38 STREET,3 AVENUE,INTERSECTION,NEW YORK,,,Closed,,"The Department of Environmental Protection did not observe a violation of the New York City Air/Noise Code at the time of inspection and could not issue a notice of violation. If the problem still exists, please call 311 and file a new complaint. If you are outside of New York City, please call (212) NEW-YORK (212-639-9675).",06/27/2019 04:00:00 AM,06 MANHATTAN,,MANHATTAN,990820.0,211884.0,ONLINE,Unspecified,MANHATTAN,,,,,,,,40.748246760816656,-73.97628845012896,"(40.74824676081666, -73.97628845012895)",0,"(-73.976288450128962, 40.748246760816656)",POINT (990819.999996098 211884.0144099405),0,77.0,0,0.0,24,0,1927.5869565217392,94.92934782608695,5,20.23913043478261,2,0.12,2
27,107,43111367,2019-06-26 14:52:00,07/01/2019 10:04:00 AM,DEP,Department of Environmental Protection,Noise,"Noise, Barking Dog (NR5)",,10301.0,131 JERSEY STREET,JERSEY STREET,RICHMOND TER,BEND,,,ADDRESS,STATEN ISLAND,,,Closed,,The Department of Environmental Protection researched this complaint and determined that it could be closed.,07/01/2019 10:04:00 AM,01 STATEN ISLAND,5000510001.0,STATEN ISLAND,960146.0,174002.0,ONLINE,Unspecified,STATEN ISLAND,,,,,,,,40.64423912726966,-74.08685728635189,"(40.64423912726966, -74.08685728635189)",0,"(-74.086857286351886, 40.644239127269657)",POINT (960146.0000142661 174002.0143853919),14,77.0,4,0.0,25,0,1921.9754464285713,121.23908482142859,8,1.6495535714285714,2,0.53,1
28,108,43111368,2019-06-26 15:45:00,07/01/2019 10:06:00 AM,DEP,Department of Environmental Protection,Noise,"Noise, Barking Dog (NR5)",,10301.0,131 JERSEY STREET,JERSEY STREET,RICHMOND TER,BEND,,,ADDRESS,STATEN ISLAND,,,Closed,,The Department of Environmental Protection researched this complaint and determined that it could be closed.,07/01/2019 10:06:00 AM,01 STATEN ISLAND,5000510001.0,STATEN ISLAND,960146.0,174002.0,ONLINE,Unspecified,STATEN ISLAND,,,,,,,,40.64423912726966,-74.08685728635189,"(40.64423912726966, -74.08685728635189)",0,"(-74.086857286351886, 40.644239127269657)",POINT (960146.0000142661 174002.0143853919),15,77.0,4,0.0,25,0,1921.9754464285713,121.23908482142859,8,1.6495535714285714,2,0.54,1
29,109,43111369,2019-06-26 19:32:00,07/02/2019 10:00:00 PM,DEP,Department of Environmental Protection,Noise,"Noise, Ice Cream Truck (NR4)",,10452.0,,,,,EAST 170 STREET,WALTON AVENUE,INTERSECTION,BRONX,,,Closed,,"The Department of Environmental Protection did not observe a violation of the New York City Air/Noise Code at the time of inspection and could not issue a notice of violation. If the problem still exists, please call 311 and file a new complaint. If you are outside of New York City, please call (212) NEW-YORK (212-639-9675).",07/02/2019 10:00:00 PM,04 BRONX,,BRONX,1007509.0,245160.0,PHONE,Unspecified,BRONX,,,,,,,,40.83955218324128,-73.91594156274334,"(40.839552183241274, -73.91594156274334)",0,"(-73.915941562743342, 40.839552183241281)",POINT (1007508.999986153 245160.0144310716),19,77.0,7,0.0,28,0,1937.6875,110.341875,5,41.1875,2,0.12,2
30,110,43111372,2019-06-26 09:32:00,06/28/2019 07:00:00 AM,DEP,Department of Environmental Protection,Noise,Noise: Construction Before/After Hours (NM1),,10003.0,7 WASHINGTON SQUARE NORTH,WASHINGTON SQUARE NORTH,UNIVERSITY PL,5 AVE,,,ADDRESS,NEW YORK,,,Closed,,"The Department of Environmental Protection did not observe a violation of the New York City Air/Noise Code at the time of inspection and could not issue a notice of violation. If the problem still exists, please call 311 and file a new complaint. If you are outside of New York City, please call (212) NEW-YORK (212-639-9675).",06/28/2019 07:00:00 AM,02 MANHATTAN,1005500013.0,MANHATTAN,985286.0,205625.0,ONLINE,Unspecified,MANHATTAN,,,,,,,,40.73106973993301,-73.99626197364634,"(40.73106973993301, -73.99626197364634)",0,"(-73.996261973646341, 40.731069739933012)",POINT (985285.9999993877 205625.0144059255),9,77.0,0,0.0,11,0,1917.8139534883721,118.72046511627909,1,30.302325581395348,2,0.35,2
31,111,43111373,2019-06-26 07:05:00,06/28/2019 07:00:00 AM,DEP,Department of Environmental Protection,Noise,Noise: Construction Before/After Hours (NM1),,10307.0,125 SWINNERTON STREET,SWINNERTON STREET,PITTSVILLE AVE,HYLAN BLVD,,,ADDRESS,STATEN ISLAND,,,Closed,,"The Department of Environmental Protection did not observe a violation of the New York City Air/Noise Code at the time of inspection and could not issue a notice of violation. If the problem still exists, please call 311 and file a new complaint. If you are outside of New York City, please call (212) NEW-YORK (212-639-9675).",06/28/2019 07:00:00 AM,03 STATEN ISLAND,5079120083.0,STATEN ISLAND,915675.0,123517.0,PHONE,Unspecified,STATEN ISLAND,,,,,,,,40.505435604069184,-74.24659311867207,"(40.50543560406919, -74.24659311867207)",0,"(-74.246593118672067, 40.505435604069184)",POINT (915675.0000404023 123517.0143517944),7,77.0,0,0.0,30,0,1945.98801369863,105.95428082191782,7,1.3167808219178083,2,0.24,2
