ahv_id,timestamp_utc,building_identification_number,status,residence_within_200_feet,enclosed_building_work,full_or_partial_demolition,crane_use,requested_for_date_ranges,apply_reason,work_description,the_geom,house_number,street_name,zip_code
893010,2019-07-01T23:46:10.304103,1038517.0,AHV SUCCESSFULLY ISSUED,True,True,False,False,"{""06/22/2019"": [""7:00 AM"", ""6:00 PM""]}",PUBLIC SAFETY,"AT 18, 19 , 20TH FLOORS CORE BATHROOMS, REMOVAL AND INSTALLATION OF NON-BEARING PARTITIONS.",POINT (-73.96957095399073 40.75710765646044),875,3 AVE,10022.0
893010,2019-07-01T23:46:10.304103,1038517.0,AHV SUCCESSFULLY ISSUED,True,True,False,False,"{""06/22/2019"": [""7:00 AM"", ""6:00 PM""]}",PUBLIC SAFETY,"AT 18, 19 , 20TH FLOORS CORE BATHROOMS, REMOVAL AND INSTALLATION OF NON-BEARING PARTITIONS.",POINT (-73.96891372921328 40.757389977290366),200,E  53 ST,10022.0
893010,2019-07-01T23:46:10.304103,1038517.0,AHV SUCCESSFULLY ISSUED,True,True,False,False,"{""06/22/2019"": [""7:00 AM"", ""6:00 PM""]}",PUBLIC SAFETY,"AT 18, 19 , 20TH FLOORS CORE BATHROOMS, REMOVAL AND INSTALLATION OF NON-BEARING PARTITIONS.",POINT (-73.96939778284123 40.757015696306354),201,E  52 ST,10022.0
893011,2019-07-01T23:46:48.738997,1014771.0,AHV SUCCESSFULLY ISSUED,True,False,False,True,"{""06/29/2019"": [""8:00 AM"", ""6:00 PM""], ""06/30/2019"": [""8:00 AM"", ""6:00 PM""]}",PUBLIC SAFETY,"HOISTING OF HVAC EQUIPMENT BY USE OF A CRANE UNDER SUPERVISION OF A MASTER RIGGER #166, COMBINED LENGTH OF BOOM, INSERTS AND JIB NOT TO EXCEED 250 FEET.",POINT (-73.9950832629715 40.742293801362656),133,W  21 ST,10011.0
893011,2019-07-01T23:46:48.738997,1014771.0,AHV SUCCESSFULLY ISSUED,True,False,False,True,"{""06/29/2019"": [""8:00 AM"", ""6:00 PM""], ""06/30/2019"": [""8:00 AM"", ""6:00 PM""]}",PUBLIC SAFETY,"HOISTING OF HVAC EQUIPMENT BY USE OF A CRANE UNDER SUPERVISION OF A MASTER RIGGER #166, COMBINED LENGTH OF BOOM, INSERTS AND JIB NOT TO EXCEED 250 FEET.",POINT (-73.99526918993821 40.74237256426235),141,W  21 ST,10011.0
893012,2019-07-01T23:46:49.422699,1090811.0,AHV SUCCESSFULLY ISSUED,True,False,False,False,"{""06/22/2019"": [""9:00 AM"", ""6:00 PM""]}",CONSTRUCTION ACTIVITIES WITH MINIMAL NOISE IMPACT,"GENERAL CARPENTRY, FINISH CARPENTRY, ROOFING, WINDOWS, ORNAMENTAL IRON AND GLASS, AND PAINTING WORK.",POINT (-73.9856348212558 40.71933572131259),150,RIVINGTON ST,10002.0
893013,2019-07-01T23:46:50.116741,4177577.0,AHV SUCCESSFULLY ISSUED,True,False,False,False,"{""06/22/2019"": [""9:00 AM"", ""6:00 PM""], ""06/29/2019"": [""9:00 AM"", ""6:00 PM""]}",PUBLIC SAFETY,"NEW BUILDING WORK FOR 1 STORY TEMPLE INCLUDING FOUNDATION , EARTH WORK AND STRUCTURAL FRAMING WORK. NO PLUMBING WORK WILL BE ALLOWED. No excessive noise before 10am w/in 200' of residence.",POINT (-73.71200019790734 40.746430811003336),259-16,79 AVE,11004.0
893014,2019-07-01T23:46:50.789495,1058808.0,AHV SUCCESSFULLY ISSUED,True,False,False,False,"{""06/22/2019"": [""9:00 AM"", ""5:00 PM""], ""06/24/2019"": [""6:00 PM"", ""12:00 AM""], ""06/25/2019"": [""6:00 PM"", ""12:00 AM""], ""06/26/2019"": [""6:00 PM"", ""12:00 AM""], ""06/27/2019"": [""6:00 PM"", ""12:00 AM""], ""06/28/2019"": [""6:00 PM"", ""12:00 AM""]}",PUBLIC SAFETY,PS 92 MANHATTAN - REPLACEMENT OF MASONRY WALLS. AS PER CONTRACT WITH THE NEW YORK CITY SCHOOL CONSTRUCTION AUTHORITY ALL WORK TO BE PERFORMED AFTER NORMAL SCHOOL HOURS.,POINT (-73.94569160747331 40.81515521607017),222,W  134 ST,10030.0
893015,2019-07-01T23:46:51.445771,3412985.0,AHV SUCCESSFULLY ISSUED,True,False,False,False,"{""06/22/2019"": [""8:00 AM"", ""5:00 PM""], ""06/29/2019"": [""8:00 AM"", ""5:00 PM""]}",CONSTRUCTION ACTIVITIES WITH MINIMAL NOISE IMPACT,"MASONRY, WALLS, FLOOR JOIST",,,,
893016,2019-07-01T23:46:52.145830,3425742.0,AHV SUCCESSFULLY ISSUED,True,False,True,False,"{""06/22/2019"": [""7:00 AM"", ""9:00 PM""]}",CITY CONSTRUCTION PROJECT,"CONSTRUCTION OF NEW STANDALONE GYM ANNEX. WORK INCLUDES BUT NOT LIMITED TO EXCAVATION,CONSTRUCTION OF NEW FOUNDATION&FOUNDATION WALLS,BRICK WALLS,PARAPET WALLS,ROOF,GYMNASIUM,ASPHALT PAVEMENT,DETENTION TANK,CONCRETE SIDEWALK ETC.",,,,
893017,2019-07-01T23:46:53.831530,3425001.0,AHV SUCCESSFULLY ISSUED,False,True,False,False,"{""06/22/2019"": [""7:00 AM"", ""5:00 PM""], ""06/29/2019"": [""7:00 AM"", ""5:00 PM""]}",CONSTRUCTION ACTIVITIES WITH MINIMAL NOISE IMPACT,"FORM WORK, REBAR, CONCRETE INSTALLATIONS, PLUMBING, ELECTRICAL, HVAC, CARPENTRY WORK.",,,,
893018,2019-07-01T23:46:55.539949,3418366.0,AHV SUCCESSFULLY ISSUED,True,False,False,False,"{""06/29/2019"": [""9:00 AM"", ""5:00 PM""], ""07/06/2019"": [""9:00 AM"", ""5:00 PM""]}",TRAFFIC CONGESTION (PEDESTRIAN AND/OR VEHICULAR),FOUNDATION & STRUCTURAL WORK FROM CELLAR TO 9TH FLOOR (RESTRICTIONS: NO EXCESSIVE NOISE BEFORE 10AM W/IN 200' OF RESIDENCE),,,,
893019,2019-07-01T23:46:56.196685,3835027.0,AHV SUCCESSFULLY ISSUED,True,True,False,False,"{""06/22/2019"": [""8:00 AM"", ""5:00 PM""], ""06/29/2019"": [""8:00 AM"", ""5:00 PM""]}",CONSTRUCTION ACTIVITIES WITH MINIMAL NOISE IMPACT,"NEW TWO FAMILY HOUSE, MASONRY WALLS, FLOOR JOIST",,,,
893020,2019-07-01T23:46:56.896890,1002934.0,AHV SUCCESSFULLY ISSUED,True,True,False,False,"{""06/22/2019"": [""7:00 AM"", ""11:00 PM""]}",CONSTRUCTION ACTIVITIES WITH MINIMAL NOISE IMPACT,"RENOVATION OF EXISTING OFFICE SPACE ON THE 7TH AND 8TH FLOORS.  GENERAL CONSTRUCTION WORK.  THERE WILL BE NO CHANGE IN USE, OCCUPANCY OR EGRESS FILED UNDER THIS APPLICATION",POINT (-74.0063972072338 40.723285148828836),75,VARICK ST,10013.0
893020,2019-07-01T23:46:56.896890,1002934.0,AHV SUCCESSFULLY ISSUED,True,True,False,False,"{""06/22/2019"": [""7:00 AM"", ""11:00 PM""]}",CONSTRUCTION ACTIVITIES WITH MINIMAL NOISE IMPACT,"RENOVATION OF EXISTING OFFICE SPACE ON THE 7TH AND 8TH FLOORS.  GENERAL CONSTRUCTION WORK.  THERE WILL BE NO CHANGE IN USE, OCCUPANCY OR EGRESS FILED UNDER THIS APPLICATION",POINT (-74.0063136825746 40.72368397006963),73,WATTS ST,10013.0
893020,2019-07-01T23:46:56.896890,1002934.0,AHV SUCCESSFULLY ISSUED,True,True,False,False,"{""06/22/2019"": [""7:00 AM"", ""11:00 PM""]}",CONSTRUCTION ACTIVITIES WITH MINIMAL NOISE IMPACT,"RENOVATION OF EXISTING OFFICE SPACE ON THE 7TH AND 8TH FLOORS.  GENERAL CONSTRUCTION WORK.  THERE WILL BE NO CHANGE IN USE, OCCUPANCY OR EGRESS FILED UNDER THIS APPLICATION",POINT (-74.00640517231616 40.72323814557937),1,HUDSON SQ,10013.0
893020,2019-07-01T23:46:56.896890,1002934.0,AHV SUCCESSFULLY ISSUED,True,True,False,False,"{""06/22/2019"": [""7:00 AM"", ""11:00 PM""]}",CONSTRUCTION ACTIVITIES WITH MINIMAL NOISE IMPACT,"RENOVATION OF EXISTING OFFICE SPACE ON THE 7TH AND 8TH FLOORS.  GENERAL CONSTRUCTION WORK.  THERE WILL BE NO CHANGE IN USE, OCCUPANCY OR EGRESS FILED UNDER THIS APPLICATION",POINT (-74.0069711390074 40.72323172072098),431,CANAL ST,10013.0
893021,2019-07-01T23:46:57.558344,3015154.0,AHV SUCCESSFULLY ISSUED,True,True,False,False,"{""06/22/2019"": [""8:00 AM"", ""5:00 PM""], ""06/29/2019"": [""8:00 AM"", ""5:00 PM""]}",CONSTRUCTION ACTIVITIES WITH MINIMAL NOISE IMPACT,"GENERAL CONSTRUCTION WORK, CONCRETE, BRICK WORK AND PLUMBING WORK.",POINT (-74.00714836246433 40.63847751568056),772,55 ST,11220.0
893022,2019-07-01T23:46:58.254157,1026772.0,AHV SUCCESSFULLY ISSUED,True,False,False,False,"{""06/22/2019"": [""9:00 AM"", ""5:00 PM""], ""06/29/2019"": [""9:00 AM"", ""5:00 PM""]}",CONSTRUCTION ACTIVITIES WITH MINIMAL NOISE IMPACT,"WORK TO INCLUDE FRAMING, CARPENTRY, SHEETROCKING, TILE WORK, BRICK WORK, AND REMOVAL OF DEBRIS FROM SITE. ,  AND ELEVATOR WORK. Note: Exclude FSWO",POINT (-73.98917234650185 40.766143283801405),433,W  53 ST,10019.0
893022,2019-07-01T23:46:58.254157,1026772.0,AHV SUCCESSFULLY ISSUED,True,False,False,False,"{""06/22/2019"": [""9:00 AM"", ""5:00 PM""], ""06/29/2019"": [""9:00 AM"", ""5:00 PM""]}",CONSTRUCTION ACTIVITIES WITH MINIMAL NOISE IMPACT,"WORK TO INCLUDE FRAMING, CARPENTRY, SHEETROCKING, TILE WORK, BRICK WORK, AND REMOVAL OF DEBRIS FROM SITE. ,  AND ELEVATOR WORK. Note: Exclude FSWO",POINT (-73.98883830388696 40.76660297897732),438,W  54 ST,10019.0
893023,2019-07-01T23:46:58.933289,3051641.0,AHV SUCCESSFULLY ISSUED,True,False,True,False,"{""06/21/2019"": [""6:00 PM"", ""12:00 AM""], ""06/22/2019"": [""7:00 AM"", ""9:00 PM""], ""06/26/2019"": [""6:00 PM"", ""12:00 AM""]}",CITY CONSTRUCTION PROJECT,INSTALLATION OF TEMPORARY CONSTRUCTION EQUIPMENT SCAFFOLD AND SIDEWALK SHED,POINT (-73.94727096908338 40.684709399242344),832,MARCY AVE,11216.0
893024,2019-07-01T23:47:00.625082,3139494.0,AHV SUCCESSFULLY ISSUED,True,True,True,False,"{""06/22/2019"": [""8:00 AM"", ""5:00 PM""], ""06/29/2019"": [""8:00 AM"", ""5:00 PM""]}",CONSTRUCTION ACTIVITIES WITH MINIMAL NOISE IMPACT,"GENERAL CONSTRUCTION WORK, FOUNDATION AND STRUCTURE WORK, SET UP I BEAM, CONCRETE AND PLUMBING WORK.",POINT (-74.00619174851361 40.63789200554555),818,55 ST,11220.0
893025,2019-07-01T23:47:01.309403,1016082.0,AHV SUCCESSFULLY ISSUED,True,True,False,False,"{""06/22/2019"": [""8:00 AM"", ""5:00 PM""]}",CONSTRUCTION ACTIVITIES WITH MINIMAL NOISE IMPACT,"RENOVATIONS THROUGHOUT COMMERCIAL SPACE (CEL, 001).INTERIOR ONLY. NOTE: CERTIFY NOISE MITIGATION PLAN PER TITLE 24, SECTION 223 OF GENERAL CITY LAW. COMPLY WITH 1RCNY, TITLE 15, CH. 30: MINIMAL IMPACT CONSTRUCTION ACTIVITIES",POINT (-73.99173767482779 40.73707787256206),9,E  16 ST,10003.0
893025,2019-07-01T23:47:01.309403,1016082.0,AHV SUCCESSFULLY ISSUED,True,True,False,False,"{""06/22/2019"": [""8:00 AM"", ""5:00 PM""]}",CONSTRUCTION ACTIVITIES WITH MINIMAL NOISE IMPACT,"RENOVATIONS THROUGHOUT COMMERCIAL SPACE (CEL, 001).INTERIOR ONLY. NOTE: CERTIFY NOISE MITIGATION PLAN PER TITLE 24, SECTION 223 OF GENERAL CITY LAW. COMPLY WITH 1RCNY, TITLE 15, CH. 30: MINIMAL IMPACT CONSTRUCTION ACTIVITIES",POINT (-73.99169349510302 40.73705931801175),11,E  16 ST,10003.0
893026,2019-07-01T23:47:01.988457,1051499.0,AHV SUCCESSFULLY ISSUED,False,False,False,False,"{""06/22/2019"": [""9:00 AM"", ""5:00 PM""]}",PUBLIC SAFETY,"SELECTIVE ROOF REPLACEMENT, INTERIOR BULKHEAD FINISHES, EXTERIOR DOORS, ELECTRICAL.",POINT (-73.95153467140112 40.792863115838955),1,E  104 ST,10029.0
893026,2019-07-01T23:47:01.988457,1051499.0,AHV SUCCESSFULLY ISSUED,False,False,False,False,"{""06/22/2019"": [""9:00 AM"", ""5:00 PM""]}",PUBLIC SAFETY,"SELECTIVE ROOF REPLACEMENT, INTERIOR BULKHEAD FINISHES, EXTERIOR DOORS, ELECTRICAL.",POINT (-73.9515440086366 40.7933928915857),1230,5 AVE,10029.0
893027,2019-07-01T23:47:02.668563,4191296.0,AHV SUCCESSFULLY ISSUED,True,False,True,False,"{""06/21/2019"": [""6:00 PM"", ""12:00 AM""], ""06/22/2019"": [""7:00 AM"", ""9:00 PM""], ""06/26/2019"": [""6:00 PM"", ""12:00 AM""]}",CITY CONSTRUCTION PROJECT,"GENERAL CONSTRUCTION, REMOVAL & REPLACEMENT OF EXTERIOR BRICK MASONRY,PARAPET REPLACEMENT, REMOVAL & REPLACEMENT OF ROOF SYSTEM, SITE RETAINING WALL REPAIRS INCLUDING REPLACEMENT OF PICKET FENCE SLEEVES & POST. No excessive noise within 200 feet of residence after 10:00pm weekdays)",POINT (-73.847945003286 40.697659442924476),84-30,101 ST,11418.0
893027,2019-07-01T23:47:02.668563,4191296.0,AHV SUCCESSFULLY ISSUED,True,False,True,False,"{""06/21/2019"": [""6:00 PM"", ""12:00 AM""], ""06/22/2019"": [""7:00 AM"", ""9:00 PM""], ""06/26/2019"": [""6:00 PM"", ""12:00 AM""]}",CITY CONSTRUCTION PROJECT,"GENERAL CONSTRUCTION, REMOVAL & REPLACEMENT OF EXTERIOR BRICK MASONRY,PARAPET REPLACEMENT, REMOVAL & REPLACEMENT OF ROOF SYSTEM, SITE RETAINING WALL REPAIRS INCLUDING REPLACEMENT OF PICKET FENCE SLEEVES & POST. No excessive noise within 200 feet of residence after 10:00pm weekdays)",POINT (-73.84781392456402 40.697109669746865),84-40,101 ST,11418.0
893028,2019-07-01T23:47:03.334605,4619694.0,AHV SUCCESSFULLY ISSUED,True,False,False,False,"{""06/29/2019"": [""8:00 AM"", ""5:00 PM""]}",EMERGENCY REPAIR WORK,"STRUCTURAL, INTERIOR ROUGH-IN WORK, AND EXTERIOR FINISH WORK.(Restrictions: No excessive noise before 10am w/in 200' of residence) - ADL",,,,
893029,2019-07-01T23:47:04.005429,2103870.0,AHV SUCCESSFULLY ISSUED,True,False,True,False,"{""06/21/2019"": [""6:00 PM"", ""1:00 AM""]}",CITY CONSTRUCTION PROJECT,"ROOF AND PARAPET REPLACEMENT,MASONRY REPAIRS",POINT (-73.91347288206438 40.84431648598984),1594,TOWNSEND AVE,10452.0
893029,2019-07-01T23:47:04.005429,2103870.0,AHV SUCCESSFULLY ISSUED,True,False,True,False,"{""06/21/2019"": [""6:00 PM"", ""1:00 AM""]}",CITY CONSTRUCTION PROJECT,"ROOF AND PARAPET REPLACEMENT,MASONRY REPAIRS",POINT (-73.91338311382566 40.844442758618044),1598,TOWNSEND AVE,10452.0
893030,2019-07-01T23:47:04.671266,1016743.0,AHV SUCCESSFULLY ISSUED,False,False,False,False,"{""06/21/2019"": [""6:00 PM"", ""1:00 AM""], ""06/24/2019"": [""6:00 PM"", ""1:00 AM""], ""06/25/2019"": [""6:00 PM"", ""1:00 AM""], ""06/26/2019"": [""6:00 PM"", ""1:00 AM""], ""06/27/2019"": [""6:00 PM"", ""1:00 AM""], ""06/28/2019"": [""6:00 PM"", ""1:00 AM""], ""07/01/2019"": [""6:00 PM"", ""1:00 AM""], ""07/02/2019"": [""6:00 PM"", ""1:00 AM""], ""07/03/2019"": [""6:00 PM"", ""1:00 AM""], ""07/04/2019"": [""6:00 PM"", ""1:00 AM""]}",CITY CONSTRUCTION PROJECT,INTERIOR & EXTERIOR RENOVATION & REPAIR WORK,POINT (-73.98682219277809 40.74223191049776),27,MADISON AVE,10010.0
893030,2019-07-01T23:47:04.671266,1016743.0,AHV SUCCESSFULLY ISSUED,False,False,False,False,"{""06/21/2019"": [""6:00 PM"", ""1:00 AM""], ""06/24/2019"": [""6:00 PM"", ""1:00 AM""], ""06/25/2019"": [""6:00 PM"", ""1:00 AM""], ""06/26/2019"": [""6:00 PM"", ""1:00 AM""], ""06/27/2019"": [""6:00 PM"", ""1:00 AM""], ""06/28/2019"": [""6:00 PM"", ""1:00 AM""], ""07/01/2019"": [""6:00 PM"", ""1:00 AM""], ""07/02/2019"": [""6:00 PM"", ""1:00 AM""], ""07/03/2019"": [""6:00 PM"", ""1:00 AM""], ""07/04/2019"": [""6:00 PM"", ""1:00 AM""]}",CITY CONSTRUCTION PROJECT,INTERIOR & EXTERIOR RENOVATION & REPAIR WORK,POINT (-73.9866205820244 40.742095035527605),41,E  25 ST,10010.0
893031,2019-07-01T23:47:05.329809,3117964.0,AHV SUCCESSFULLY ISSUED,True,True,False,False,"{""06/23/2019"": [""9:00 AM"", ""5:00 PM""], ""06/30/2019"": [""9:00 AM"", ""5:00 PM""]}",PUBLIC SAFETY,"PLUMBING, ELECTRICAL, FRAMING WORK",POINT (-73.95212903851879 40.64609767599715),986,ROGERS AVE,11226.0
893031,2019-07-01T23:47:05.329809,3117964.0,AHV SUCCESSFULLY ISSUED,True,True,False,False,"{""06/23/2019"": [""9:00 AM"", ""5:00 PM""], ""06/30/2019"": [""9:00 AM"", ""5:00 PM""]}",PUBLIC SAFETY,"PLUMBING, ELECTRICAL, FRAMING WORK",POINT (-73.95212561309776 40.64605542408848),990,ROGERS AVE,11226.0
893032,2019-07-01T23:47:06.143182,1007046.0,AHV SUCCESSFULLY ISSUED,True,True,False,False,"{""06/22/2019"": [""9:00 AM"", ""5:00 PM""]}",CONSTRUCTION ACTIVITIES WITH MINIMAL NOISE IMPACT,SITE MOBILIZATION. FABRICATING COLUMNS CUSTOM FIT TO SIZE & EQUIPMENT DELIVER.,POINT (-74.00196441353415 40.7215964947712),94,GRAND ST,10013.0
893032,2019-07-01T23:47:06.143182,1007046.0,AHV SUCCESSFULLY ISSUED,True,True,False,False,"{""06/22/2019"": [""9:00 AM"", ""5:00 PM""]}",CONSTRUCTION ACTIVITIES WITH MINIMAL NOISE IMPACT,SITE MOBILIZATION. FABRICATING COLUMNS CUSTOM FIT TO SIZE & EQUIPMENT DELIVER.,POINT (-74.00197388531741 40.72175320919573),38,GREENE ST,10013.0
893033,2019-07-01T23:47:06.900274,1043853.0,PAYMENT PROCESSING UNDERWAY,True,False,False,False,"{""06/25/2019"": [""6:00 PM"", ""10:00 PM""]}",CONSTRUCTION ACTIVITIES WITH MINIMAL NOISE IMPACT," CONDITIONS   DESCRIPTION OF WORK: CRANE OPERATIONS AND RIGGING - CD NUMBER 4589 / CN NUMBER 1215 16. SUPER STRUCTURE PHASE, UNLOADING TRUCK'S, REBAR AND FORM WORK, INSTALLING FORMS FOR WALLS AND DECK, POURING CONCRETE",POINT (-73.96477256036235 40.763732954161306),1059,3 AVE,10065.0
893034,2019-07-01T23:47:07.549004,1813346.0,AHV SUCCESSFULLY ISSUED,False,False,False,False,"{""06/24/2019"": [""12:00 AM"", ""11:59 PM""], ""06/25/2019"": [""12:00 AM"", ""11:59 PM""]}",PUBLIC SAFETY,"INSTALLATION OF TEMPORARY TENTS FOR "" THE LOUDEST VOICE""PREMIERE LOCATED AT PARIS THEATER CURBSIDE",,,,
893035,2019-07-01T23:47:08.212551,1016121.0,AHV SUCCESSFULLY ISSUED,True,True,False,False,"{""06/22/2019"": [""9:00 AM"", ""5:00 PM""], ""06/29/2019"": [""9:00 AM"", ""5:00 PM""]}",CONSTRUCTION ACTIVITIES WITH MINIMAL NOISE IMPACT,INTERIOR RENOVATION,POINT (-73.99078375228407 40.73742085354374),23,E  17 ST,10003.0
893036,2019-07-01T23:47:08.876125,1047625.0,AHV SUCCESSFULLY ISSUED,True,False,False,False,"{""06/22/2019"": [""9:00 AM"", ""6:00 PM""]}",PUBLIC SAFETY,"FACADE REPAIR. NO CHANGE IN EGRESS, USE OR OCCUPANCY INVOLVED UNDER THIS APPLICATION",POINT (-73.95655069395094 40.77724665008052),150,E  83 ST,10028.0
893037,2019-07-01T23:47:09.557750,4012207.0,AHV SUCCESSFULLY ISSUED,True,False,False,False,"{""06/22/2019"": [""8:00 AM"", ""5:00 PM""]}",CONSTRUCTION ACTIVITIES WITH MINIMAL NOISE IMPACT,"REGULAR FOUNDATION WORK FOR WATER PROOFING, REBAR TIE, FRAMING WORK",POINT (-73.9110016030991 40.76494914672028),25-82,43 ST,11103.0
893038,2019-07-01T23:47:10.274553,1027156.0,AHV SUCCESSFULLY ISSUED,True,False,False,False,"{""06/22/2019"": [""6:00 AM"", ""10:00 PM""]}",PUBLIC SAFETY,HVAC AND WORK ON THE ROOF TO ERECT THE TENNIS BUBBLE,POINT (-73.99275370120384 40.76877286596721),775,11 AVE,10019.0
893038,2019-07-01T23:47:10.274553,1027156.0,AHV SUCCESSFULLY ISSUED,True,False,False,False,"{""06/22/2019"": [""6:00 AM"", ""10:00 PM""]}",PUBLIC SAFETY,HVAC AND WORK ON THE ROOF TO ERECT THE TENNIS BUBBLE,POINT (-73.99325811135911 40.768688315234016),601,W  54 ST,10019.0
893038,2019-07-01T23:47:10.274553,1027156.0,AHV SUCCESSFULLY ISSUED,True,False,False,False,"{""06/22/2019"": [""6:00 AM"", ""10:00 PM""]}",PUBLIC SAFETY,HVAC AND WORK ON THE ROOF TO ERECT THE TENNIS BUBBLE,POINT (-73.99292133387885 40.7691409312224),600,W  55 ST,10019.0
893039,2019-07-01T23:47:10.934967,1047624.0,AHV SUCCESSFULLY ISSUED,True,False,False,False,"{""06/22/2019"": [""8:00 AM"", ""6:00 PM""]}",PUBLIC SAFETY,"FACADE REPAIR. NO CHANGE IN EGRESS, USE OR OCCUPANCY INVOLVED UNDER THIS APPLICATION",POINT (-73.95647196628049 40.777213245445786),152,E  83 ST,10028.0
893040,2019-07-01T23:47:12.642521,3379800.0,IN PROCESS,True,True,False,False,"{""06/22/2019"": [""9:00 AM"", ""5:00 PM""]}",PUBLIC SAFETY,"GENERAL CONSTRUCTION, PLBG, FRMING, MATERIAL DLVRY, INSTALL FORM WORK & REINFORCEMENT, WELDING, INSTALLATION, CLEANING & MAINTENANCE OF DEWATERING SYSTEM, EXCAVATION, SOE, AND HOUSEKPG. CONCRETE PLACEMENT,BOOM TRUCK, LULL, FORKLIFT USE",POINT (-73.95121289954557 40.729615208625056),211,MCGUINNESS BLVD,11222.0
